City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Atuona,PF,-9.8,-139.0333,297.92,71,59,7.71,broken clouds
69,Gravdal,NO,68.1214,13.5031,285.09,82,40,9.26,light intensity shower rain
70,Anagni,IT,41.7447,13.1527,306.82,53,40,5.14,scattered clouds
71,Tessalit,ML,20.1986,1.0114,311.04,24,84,7.01,broken clouds
72,Bandar-E Lengeh,IR,26.5579,54.8807,307.66,63,1,3.15,clear sky
73,Kapaa,US,22.0752,-159.319,296.33,92,75,2.06,broken clouds
74,Kodiak,US,57.79,-152.4072,285.88,88,100,3.09,light rain
75,Usevya,TZ,-7.1,31.2333,298.31,30,19,2.03,few clouds
76,Wajir,KE,1.7471,40.0573,301.59,40,78,8.28,broken clouds
77,Yeniseysk,RU,58.4497,92.1703,280.28,94,53,1.5,broken clouds
78,Saint-Joseph,RE,-21.3667,55.6167,293.36,75,32,4.11,scattered clouds
79,Adrar,MR,20.5022,-10.0711,312.86,18,9,0.91,clear sky
80,Pimenta Bueno,BR,-11.6725,-61.1936,310.32,26,61,1.29,broken clouds
81,Araouane,ML,18.9048,-3.5265,313.45,18,78,3.13,broken clouds
82,Humboldt,US,40.6665,-123.9178,288.22,76,9,0.88,clear sky
83,Ilulissat,GL,69.2167,-51.1,278.92,88,100,1.91,overcast clouds
84,Ponta Do Sol,PT,32.6667,-17.1,301.88,69,0,2.05,clear sky
85,Alibag,IN,18.6411,72.8792,301.19,85,100,4.34,moderate rain
86,Tocache,PE,-8.1842,-76.5125,302.08,59,69,0.63,broken clouds
87,Albany,US,42.6001,-73.9662,302.39,78,100,1.8,overcast clouds
88,Port Blair,IN,11.6667,92.75,300.65,84,100,9.4,overcast clouds
89,Lorengau,PG,-2.0226,147.2712,299.58,80,100,0.58,overcast clouds
90,Muros,ES,42.7762,-9.0603,301.57,50,29,6.96,scattered clouds
91,Nikolskoye,RU,59.7035,30.7861,301.09,48,6,2.67,clear sky
92,Mesyagutovo,RU,55.5303,58.2528,292.21,64,0,1.88,clear sky
93,Pangai,TO,-19.8,-174.35,297.65,84,100,7.15,light rain
94,Narsaq,GL,60.9167,-46.05,283.27,94,100,1.68,light rain
95,Abha,SA,18.2164,42.5053,292.05,88,40,5.14,scattered clouds
96,Isangel,VU,-19.55,169.2667,297.03,84,87,4.04,overcast clouds
97,East London,ZA,-33.0153,27.9116,288.67,88,0,1.03,clear sky
98,Kawalu,ID,-7.3817,108.2082,293.22,96,67,0.77,broken clouds
99,Vaini,TO,-21.2,-175.2,297.24,94,100,2.06,overcast clouds
100,Cap Malheureux,MU,-19.9842,57.6142,295.08,67,0,2.68,clear sky
101,Nhulunbuy,AU,-12.2333,136.7667,296.49,94,59,2.06,broken clouds
102,Lavrentiya,RU,65.5833,-171.0,276.92,92,100,5.3,light rain
103,Linares,CL,-35.85,-71.6,283.48,72,100,0.3,moderate rain
104,Ahipara,NZ,-35.1667,173.1667,283.62,90,82,1.9,broken clouds
105,Bandarbeyla,SO,9.4942,50.8122,298.09,80,0,14.45,clear sky
106,Tuktoyaktuk,CA,69.4541,-133.0374,288.4,63,57,7.12,broken clouds
107,Moerai,PF,-22.4333,-151.3333,294.68,73,100,9.86,overcast clouds
108,Portland,US,45.5234,-122.6762,292.62,72,20,3.58,few clouds
109,Labuhan,ID,-6.8844,112.2051,297.25,85,69,2.55,broken clouds
110,Chuy,UY,-33.6971,-53.4616,285.48,66,10,3.61,clear sky
111,Cabo San Lucas,MX,22.8909,-109.9124,308.32,40,20,2.06,few clouds
112,Saint George,US,37.1041,-113.5841,299.7,69,100,2.57,overcast clouds
113,Samarai,PG,-10.6167,150.6667,299.36,88,72,5.02,broken clouds
114,Dunedin,NZ,-45.8742,170.5036,286.37,66,100,1.69,overcast clouds
115,Port Alfred,ZA,-33.5906,26.891,288.25,85,24,5.76,few clouds
116,Puerto Ayora,EC,-0.7393,-90.3518,298.13,85,39,1.79,scattered clouds
117,Savona,IT,44.3,8.2667,303.39,67,17,2.44,few clouds
118,Bredasdorp,ZA,-34.5322,20.0403,286.93,69,47,5.27,scattered clouds
119,Gweta,BW,-20.1833,25.2333,298.03,21,0,3.5,clear sky
120,Sao Filipe,CV,14.8961,-24.4956,298.58,80,68,4.36,broken clouds
121,Tual,ID,-5.6667,132.75,299.84,85,18,5.34,few clouds
122,Pevek,RU,69.7008,170.3133,274.43,99,100,1.42,snow
123,Carutapera,BR,-1.195,-46.02,301.91,68,51,4.59,broken clouds
124,Chokurdakh,RU,70.6333,147.9167,276.67,91,57,3.16,broken clouds
125,Port Elizabeth,ZA,-33.918,25.5701,288.88,86,20,7.2,few clouds
126,Ponerihouen,NC,-21.0833,165.4,295.35,91,55,3.2,broken clouds
127,Ca Mau,VN,9.1769,105.15,299.04,86,100,2.21,overcast clouds
128,Saldanha,ZA,-33.0117,17.9442,286.61,92,8,2.29,clear sky
129,Cedar City,US,37.6775,-113.0619,293.69,78,40,1.54,scattered clouds
130,Inhambane,MZ,-23.865,35.3833,294.75,80,0,4.31,clear sky
131,Avarua,CK,-21.2078,-159.775,295.18,73,75,4.63,broken clouds
132,Upington,ZA,-28.4478,21.2561,294.36,32,0,1.03,clear sky
133,Ostrovnoy,RU,68.0531,39.5131,292.8,72,100,5.65,overcast clouds
134,Balakhninskiy,RU,58.0106,114.2769,284.07,84,84,1.42,broken clouds
135,Qaanaaq,GL,77.484,-69.3632,279.18,58,10,0.24,clear sky
136,Karratha,AU,-20.7377,116.8463,291.62,52,0,3.78,clear sky
137,Kendari,ID,-3.945,122.4989,296.19,88,30,1.73,scattered clouds
138,Kahului,US,20.8947,-156.47,298.06,78,0,2.06,clear sky
139,Pisco,PE,-13.7,-76.2167,290.18,82,100,3.09,mist
140,Taltal,CL,-25.4,-70.4833,289.26,63,15,2.06,few clouds
141,Aguilas,ES,37.4063,-1.5829,303.64,55,0,3.79,light rain
142,Yulara,AU,-25.2406,130.9889,282.93,33,0,4.08,clear sky
143,Yangambi,CD,0.8102,24.4336,298.44,77,95,1.15,overcast clouds
144,Calafell,ES,41.2,1.5683,305.33,47,4,4.91,clear sky
145,El Dorado,US,38.7666,-120.5177,296.84,87,100,1.34,light rain
146,Safaga,EG,26.7292,33.9365,306.71,49,88,3.74,overcast clouds
147,Itarema,BR,-2.9248,-39.9167,303.51,52,4,7.6,clear sky
148,Peterhead,GB,57.5058,-1.7981,288.99,60,62,5.96,broken clouds
149,New Port Richey,US,28.2442,-82.7193,307.12,70,10,2.68,clear sky
150,Castro,BR,-24.7911,-50.0119,290.7,76,95,3.13,overcast clouds
151,Turukhansk,RU,65.8167,87.9833,291.44,55,100,2.58,overcast clouds
152,Perth,AU,-31.9333,115.8333,285.42,96,75,3.09,light intensity drizzle
153,Grindavik,IS,63.8424,-22.4338,286.41,82,75,8.23,broken clouds
154,Touros,BR,-5.1989,-35.4608,301.04,68,23,8.13,few clouds
155,Lagoa,PT,39.05,-27.9833,297.18,78,18,2.32,few clouds
156,Vardo,NO,70.3705,31.1107,289.14,94,75,6.17,broken clouds
157,Kautokeino,NO,69.0125,23.0412,283.98,78,100,5.85,overcast clouds
158,Sitka,US,57.0531,-135.33,287.09,88,100,4.63,light rain
159,Eyl,SO,7.9803,49.8164,298.26,76,6,11.96,clear sky
160,Bambous Virieux,MU,-20.3428,57.7575,294.94,65,5,6.36,clear sky
161,Les Escoumins,CA,48.1111,-69.0236,288.79,43,58,2.73,broken clouds
162,Mananjary,MG,-21.2167,48.3333,293.03,86,0,3.29,clear sky
163,Hami,CN,42.8,93.45,302.6,37,71,2.35,broken clouds
164,Ulcinj,ME,41.9294,19.2244,309.27,48,0,5.86,clear sky
165,Sayyan,YE,15.1718,44.3244,290.14,74,93,1.48,overcast clouds
